"NO","Tanggal","BI-7Day-RR"
"1","17 Desember 2020","3.75 %"
"2","19 November 2020","3.75 %"
"3","13 Oktober 2020","4.00 %"
"4","17 September 2020","4.00 %"
"5","19 Agustus 2020","4.00 %"
"6","16 Juli 2020","4.00 %"
"7","18 Juni 2020","4.25 %"
"8","19 Mei 2020","4.50 %"
"9","14 April 2020","4.50 %"
"10","19 Maret 2020","4.50 %"
"11","20 Februari 2020","4.75 %"
"12","23 Januari 2020","5.00 %"
"13","19 Desember 2019","5.00 %"
"14","21 November 2019","5.00 %"
"15","24 Oktober 2019","5.00 %"
"16","19 September 2019","5.25 %"
"17","22 Agustus 2019","5.50 %"
"18","18 Juli 2019","5.75 %"
"19","20 Juni 2019","6.00 %"
"20","16 Mei 2019","6.00 %"
"21","25 April 2019","6.00 %"
"22","21 Maret 2019","6.00 %"
"23","21 Februari 2019","6.00 %"
"24","17 Januari 2019","6.00 %"
"25","20 Desember 2018","6.00 %"
"26","15 November 2018","6.00 %"
"27","23 Oktober 2018","5.75 %"
"28","27 September 2018","5.75 %"
"29","15 Agustus 2018","5.50 %"
"30","19 Juli 2018","5.25 %"
"31","29 Juni 2018","5.25 %"
"32","30 Mei 2018","4.75 %"
"33","17 Mei 2018","4.50 %"
"34","19 April 2018","4.25 %"
"35","22 Maret 2018","4.25 %"
"36","15 Februari 2018","4.25 %"
"37","18 Januari 2018","4.25 %"
"38","14 Desember 2017","4.25 %"
"39","16 November 2017","4.25 %"
"40","19 Oktober 2017","4.25 %"
"41","22 September 2017","4.25 %"
"42","22 Agustus 2017","4.50 %"
"43","20 Juli 2017","4.75 %"
"44","15 Juni 2017","4.75 %"
"45","18 Mei 2017","4.75 %"
"46","20 April 2017","4.75 %"
"47","16 Maret 2017","4.75 %"
"48","16 Februari 2017","4.75 %"
"49","19 Januari 2017","4.75 %"
"50","15 Desember 2016","4.75 %"
"51","17 November 2016","4.75 %"
"52","20 Oktober 2016","4.75 %"
"53","22 September 2016","5.00 %"
"54","19 Agustus 2016","5.25 %"
"55","21 Juli 2016","5.25 %"
"56","16 Juni 2016","5.25 %"
"57","19 Mei 2016","5.50 %"
"58","21 April 2016","5.50 %"
