"Nomor","Tanggal","PER","PBV","ROE"
"1","31 Maret 2015","85.67","1.19","1.38"
"2","30 Juni 2015","91.68","0.84","0.92"
"3","1 Oktober 2015","162.79","0.89","0.55"
"4","30 Desember 2015","812.62","0.60","0.07"
"5","31 Maret 2016","72.70","0.62","0.85"
"6","30 Juni 2016","416.69","1.06","0.25"
"7","1 Oktober 2016","157.01","1.12","0.71"
"8","30 Desember 2016","215.71","1.05","0.49"
"9","31 Maret 2017","263.24","0.89","0.34"
"10","30 Juni 2017","116.42","0.98","0.85"
"11","1 Oktober 2017","945.64","0.97","0.1"
"12","30 Desember 2017","579.88","1.39","0.24"
"13","31 Maret 2018","358.35","1.34","0.37"
"14","30 Juni 2018","101.85","1.62","1.59"
"15","1 Oktober 2018","36.99","1.09","2.94"
"16","28 Desember 2018","37.72","1.21","3.21"
"17","31 Maret 2019","107.40","1.16","1.08"
"18","30 Juni 2019","79.19","1.12","1.41"
"19","1 Oktober 2019","99.73","1.39","1.4"
"20","30 Desember 2019","45.34","1.34","2.96"
"21","31 Maret 2020","49.33","0.72","1.47"
"22","30 Juni 2020","44.83","1.19","2.66"
"23","1 Oktober 2020","37.30","1.42","3.8"
"24","30 Desember 2020","43.57","1.79","4.1"
